"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.799561542E0	7.055536920E-1	7.435854444E-1	3.451191570E0	3.600201185E0
2.809602542E0	4.615229242E-1	5.424461961E-1	2.872580345E0	2.959555562E0
2.819644542E0	4.545880533E-1	3.659216791E-1	2.231644818E0	2.306683239E0
2.829685542E0	4.643754883E-1	3.819804722E-1	2.303470261E0	2.380657245E0
2.839726542E0	4.820949637E-1	5.340124646E-1	3.122994372E0	3.204789964E0
2.849767542E0	6.523177902E-1	6.035320580E-1	4.137495058E0	4.231859497E0
2.859808542E0	1.159232723E0	6.338998649E-1	5.230655998E0	5.394943161E0
2.869849542E0	1.684891855E0	5.183346176E-1	5.737601409E0	6.002299665E0
2.879890542E0	1.824382593E0	4.509928197E-2	5.687760912E0	5.973360025E0
2.889931542E0	1.896647162E0	-5.443617439E-1	5.306994322E0	5.661959811E0
2.899973542E0	1.758340046E0	-1.081584622E0	4.178422644E0	4.660557993E0
2.910014542E0	1.292174141E0	-1.522168813E0	2.817494895E0	3.453257794E0
2.920055542E0	1.370927657E0	-1.763317927E0	1.999560642E0	2.997828466E0
2.930096542E0	1.086498915E0	-1.987480295E0	1.681497838E0	2.820991456E0
2.940137542E0	1.256652159E-1	-2.458754767E0	1.341997388E0	2.803965716E0
2.950178542E0	-2.941836704E-1	-3.006114378E0	1.041658080E0	3.195046047E0
2.960219542E0	1.114152225E-2	-3.321347129E0	9.593398082E-1	3.457138087E0
2.970260542E0	3.282045435E-1	-3.269219787E0	1.161393269E0	3.484874540E0
2.980302542E0	6.601728666E-1	-3.021092606E0	1.492838010E0	3.433859937E0
2.990343542E0	7.306005326E-1	-2.915829860E0	1.652604115E0	3.430297548E0
3.000384542E0	-1.330135580E-2	-3.081700750E0	1.628291684E0	3.485454095E0
3.010426083E0	-1.020097495E0	-3.545785486E0	1.047880687E0	3.835524416E0
3.020467083E0	-1.704298764E0	-4.062749516E0	-1.221553516E-1	4.407435744E0
3.030508083E0	-2.185355043E0	-4.089833234E0	-1.097532903E0	4.765195800E0
3.040549083E0	-2.047259012E0	-3.604153562E0	-1.785137543E0	4.513081919E0
3.050590083E0	-1.550511145E0	-2.956489643E0	-2.028790435E0	3.906521016E0
3.060631083E0	-6.286492114E-1	-2.246930609E0	-2.094239343E0	3.135240887E0
3.070673083E0	4.914072394E-1	-1.541973917E0	-1.960463966E0	2.542161206E0
3.080714083E0	1.110072695E0	-1.079334029E0	-1.694586831E0	2.295397103E0
3.090755083E0	8.562319078E-1	-7.799103945E-1	-1.792509567E0	2.134123673E0
3.100796083E0	3.566214999E-1	-8.068222046E-1	-2.654660465E0	2.797385055E0
3.110837083E0	-3.278566707E-1	-1.133367564E0	-4.006980527E0	4.177068946E0
3.120878083E0	-5.031381792E-1	-1.369057133E0	-5.089946262E0	5.294810517E0
3.130919083E0	-4.002252103E-1	-1.587839477E0	-5.699695664E0	5.930256747E0
